Image,Original Size,SVD Compressed Size,SVD Compression Ratio,SVD MSE,SVD PSNR,SVD SSIM,DCT Compressed Size,DCT Compression Ratio,DCT MSE,DCT PSNR,DCT SSIM
Image1,1961,744,2.64,113.93,27.56,0.83,455,4.31,5.97,40.37,0.92
Image2,2808,1627,1.73,642.26,20.05,0.47,2627,1.07,2.54,44.09,0.98
Image3,1485,831,1.79,68.98,29.74,0.84,522,2.84,3.83,42.29,0.96
Image4,1338,607,2.2,11.38,37.57,0.94,258,5.19,2.61,43.97,0.96
Image5,2384,1342,1.78,361.31,22.55,0.68,1329,1.79,7.63,39.3,0.94
Image6,1950,1051,1.85,189.14,25.36,0.72,1463,1.33,3.89,42.23,0.97
Image7,1561,647,2.41,10.35,37.98,0.9,470,3.32,4.83,41.29,0.93
Image8,2254,1224,1.84,336.05,22.87,0.63,1743,1.29,3.9,42.22,0.98
Image9,2288,1624,1.41,338.93,22.83,0.68,1245,1.84,6.91,39.74,0.95
Image10,3238,1753,1.85,1121.47,17.63,0.38,3124,1.04,2.19,44.73,0.99
Image11,2192,1641,1.34,399.12,22.12,0.54,2005,1.09,1.71,45.8,0.99
Image12,2234,1219,1.83,300.24,23.36,0.67,1524,1.47,4.77,41.35,0.96
Image13,2315,1733,1.34,929.35,18.45,0.44,2166,1.07,1.94,45.24,0.99
Image14,2042,859,2.38,38.15,32.32,0.81,691,2.96,7.27,39.51,0.92
Image15,2972,1620,1.83,556.55,20.68,0.42,2808,1.06,2.78,43.7,0.98
Image16,1332,1274,1.05,354.38,22.64,0.71,1304,1.02,0.47,51.37,1.0
Image17,2095,1069,1.96,430.43,21.79,0.62,1853,1.13,4.63,41.47,0.98
Image18,2230,1046,2.13,153.13,26.28,0.72,1494,1.49,5.87,40.45,0.97
Image19,1949,1015,1.92,187.63,25.4,0.72,1236,1.58,4.93,41.2,0.96
Image20,1960,964,2.03,133.82,26.87,0.77,802,2.44,5.65,40.61,0.94
Image21,2877,1723,1.67,600.04,20.35,0.45,2766,1.04,1.9,45.34,0.99
Image22,1551,711,2.18,49.67,31.17,0.9,340,4.56,3.69,42.46,0.95
Image23,2397,1450,1.65,545.15,20.77,0.5,2198,1.09,2.64,43.91,0.98
Image24,2926,1743,1.68,877.06,18.7,0.47,2766,1.06,2.16,44.79,0.99
Image25,1256,673,1.87,54.83,30.74,0.93,327,3.84,2.29,44.53,0.97
